timestamp,log_type,message
15.49282,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.50351,Log,Hit Blackzone
15.50351,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.51475,Log,Hit Blackzone
15.51475,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.52672,Log,Hit Blackzone
15.52672,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.53699,Log,Hit Blackzone
15.53699,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.54825,Log,Hit Blackzone
15.54825,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.55949,Log,Hit Blackzone
15.55949,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.57086,Log,Hit Blackzone
15.57086,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.58203,Log,Hit Blackzone
15.58203,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.59299,Log,Hit Blackzone
15.59299,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.60408,Log,Hit Blackzone
15.60408,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.61508,Log,Hit Blackzone
15.61508,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.62719,Log,Hit Blackzone
15.62719,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.63749,Log,Hit Blackzone
15.63749,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.64869,Log,Hit Blackzone
15.64869,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.65989,Log,Hit Blackzone
15.65989,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.67116,Log,Hit Blackzone
15.67116,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.68407,Log,Hit Blackzone
15.68407,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.69424,Log,Hit Blackzone
15.69424,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.70442,Log,Hit Blackzone
15.70442,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.71587,Log,Hit Blackzone
15.71587,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.72699,Log,Hit Blackzone
15.72699,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.73798,Log,Hit Blackzone
15.73798,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.74939,Log,Hit Blackzone
15.74939,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.76051,Log,Hit Blackzone
15.76051,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.77169,Log,Hit Blackzone
15.77169,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.78326,Log,Hit Blackzone
